token,count
▁предло,7
ём,7
am,7
▁ди,7
▁та,7
▁фильмы,7
▁бы,7
▁сто,7
▁этот,7
ор,7
вали,7
вших,7
▁кро,7
лько,7
▁фильме,7
ностью,7
▁ав,7
▁вер,7
▁успех,7
ющие,7
▁режи,7
лле,7
▁ге,7
мыш,7
вше,7
она,7
тя,7
▁b,7
▁ин,7
ad,7
▁g,7
la,7
▁пози,7
▁побе,7
футбо,7
▁вой,7
▁ос,7
▁заби,7
▁отбо,7
▁конфликт,7
▁de,7
▁инте,7
веде,7
цы,7
сили,7
гово,7
▁гондурасе,7
лё,7
▁прези,7
▁заяви,7
▁действия,7
▁сальвадорские,7
▁прекраще,7
▁линии,7
▁бом,7
▁//,7
шки,6
лице,6
стано,6
ге,6
▁пушки,6
—,6
▁прове,6
станов,6
нный,6
кры,6
хи,6
рон,6
▁высо,6
▁четы,6
ска,6
щая,6
чания,6
▁спи,6
▁кэри,6
дио,6
▁которые,6
▁лет,6
▁кинокар,6
ье,6
лях,6
ться,6
ших,6
▁дра,6
▁пери,6
ность,6
▁романтиче,6
муще,6
▁хи,6
чко,6
▁национа,6
рес,6
▁зна,6
▁номи,6
мию,6
ется,6
▁истории,6
▁когда,6
▁пе,6
▁горо,6
▁успе,6
телей,6
▁несмотря,6
цию,6
▁критиков,6
ках,6
вых,6
дер,6
вать,6
рии,6
▁подписа,6
ей,6
▁сыграл,6
▁приня,6
▁съ,6
▁роли,6
тов,6
▁ян,6
▁пра,6
пита,6
тера,6
▁челове,6
гие,6
читель,6
фор,6
▁результа,6
▁стал,6
▁су,6
ёра,6
ладель,6
чай,6
сс,6
ред,6
рта,6
сы,6
ённо,6
▁без,6
нг,6
▁дол,6
йти,6
▁которых,6
▁тор,6
стран,6
▁дости,6
ис,6
▁pr,6
ess,6
en,6
.),6
▁чемпи,6
▁матчах,6
▁чемпиона,6
▁двумя,6
▁турнира,6
вшие,6
мент,6
днее,6
▁этом,6
▁центрально,6
▁несколько,6
доста,6
▁сальвадорской,6
▁разме,6
ление,6
нтов,6
▁це,6
галь,6
сальвадо,6
▁столкнове,6
рди,6
▁ходе,6
гранич,6
▁конфликта,6
▁около,6
биты,6
▁день,6
▁гондурасских,6
▁войск,6
▁истреби,6
▁самолёты,6
▁км,6
▁стороны,6
ман,5
тур,5
кса,5
▁сер,5
▁ране,5
▁дом,5
ц,5
эт,5
нд,5
ект,5
ков,5
▁анг,5
ходя,5
▁кине,5
мато,5
траж,5
лаго,5
ур,5
▁аль,5
▁би,5
жды,5
оскар,5
▁пять,5
золо,5
ним,5
вший,5
руп,5
дера,5
нто,5
▁око,5
▁оста,5
▁они,5
пол,5
ев,5
▁ему,5
чь,5
ат,5
льные,5
▁пло,5
слу,5
ключе,5
▁ло,5
ёрн,5
▁r,5
ia,5
es,5
▁дан,5
▁спу,5
ляр,5
зу,5
▁впер,5
раз,5
пло,5
ую,5
▁ч,5
гро,5
вая,5
ступ,5
сту,5
их,5
ствии,5
▁безо,5
▁пора,5
ща,5
▁сла,5
▁правитель,5
▁хосе,5
тепе,5
вало,5
запад,5
рого,5
▁ино,5
при,5
явле,5
▁доку,5
мента,5
▁таки,5
me,5
▁обо,5
▁j,5
▁u,5
ers,5
ity,5
cc,5
ion,5
▁an,5
грал,5
▁жи,5
▁турни,5
▁эта,5
▁сбор,5
▁матча,5
ras,5
▁было,5
нтяб,5
▁гва,5
ленно,5
роч,5
▁зо,5
мери,5
▁объ,5
каза,5
щ,5
▁один,5
селен,5
▁соб,5
зош,5
▁нап,5
спо,5
▁напа,5
▁авиа,5
te,5
воз,5
▁оаг,5
ск,4
яб,4
▁акт,4
нтра,4
ем,4
▁крити,4
гла,4
лей,4
▁ле,4
нич,4
▁i,4
▁фи,4
ыгра,4
▁центра,4
▁чем,4
▁сальвадо,4
▁гражда,4
смот,4
N,3
▁вре,3
▁неско,3
эри,3
пер,3
▁само,3
▁сыгра,3
▁сня,3
ут,3
▁наци,3
жда,3
▁кри,3
x,3
▁gra,3
▁полу,3
▁которы,3
ющи,3
/,3
дов,3
w,3
▁сторо,3
▁экономи,3
льно,3
дол,3
▁рай,3
▁арми,3
▁действи,3
оруж,2
ом,2
нду,2
▁кар,2
▁пя,2
▁так,2
▁роман,2
лее,2
▁фильмо,2
тра,2
▁зе,2
==,2
спе,2
дин,2
it,2
▁o,2
▁кинтани,2
é,2
ó,2
ú,2
▁ию,2
ндурас,2
%,2
▁страна,2
▁дву,2
ход,2
оне,2
бор,2
ñ,2
▁прекра,2
▁памя,2
писа,1
чение,1
▁тур,1
кар,1
▁гра,1
лове,1
дель,1
пад,1
▁филь,1
▁продол,1
„,1
“,1
↑,1
«,1
скар,1
he,1
q,1
▁прави,1
нове,1
á,1
зова,1
кра,1
▁конфли,1
мерикан,1
йстви,1
вши,1
▁тыся,1
ъ,1
▁террито,1
кономи,1
стви,1
льва,1
мерика,1
ś,1
ń,1
j,1
í,1
▁is,1
ary,1
гда,1
